kV,energy,intensity
10,0.25,0.0
10,0.5,0.0
10,0.75,0.0
10,1.0,0.0
10,1.25,0.0
10,1.5,0.0
10,1.75,0.0
10,2.0,0.0
10,2.25,0.0
10,2.5,0.0
10,2.75,0.0
10,3.0,0.0
10,3.25,0.0
10,3.5,0.0
10,3.75,0.0
10,4.0,0.0
10,4.25,0.513116
10,4.5,0.763061
10,4.75,1.22727
10,5.0,2.18921
10,5.25,3.74098
10,5.5,5.89931
10,5.75,9.0393
10,6.0,12.2134
10,6.25,15.5785
10,6.5,19.1687
10,6.75,22.2997
10,7.0,24.8764
10,7.25,26.8485
10,7.5,28.6324
10,7.75,29.9915
10,8.0,30.7607
10,8.25,30.5336
10,8.5,28.752
10,8.75,27.4003
10,9.0,24.1316
10,9.25,21.0387
10,9.5,15.8304
10,9.75,10.5754
10,10.0,2.7481
10,10.25,0.371282
10,10.5,0.132425
10,10.75,0.170567
10,11.0,0.156117
10,11.25,0.22091
10,11.5,0.198088
10,11.75,0.206391
10,12.0,0.214021
10,12.25,0.192062
10,12.5,0.201799
10,12.75,0.190741
10,13.0,0.197512
10,13.25,0.19225
10,13.5,0.188708
10,13.75,0.194222
10,14.0,0.185002
10,14.25,0.186498
10,14.5,0.187178
10,14.75,0.176048
10,15.0,0.175302
10,15.25,0.170572
10,15.5,0.151382
10,15.75,0.148365
10,16.0,0.137265
10,16.25,0.11844
10,16.5,0.108907
10,16.75,0.09875
10,17.0,0.0820768
10,17.25,0.0686788
10,17.5,0.0607763
10,17.75,0.0461608
10,18.0,0.0333921
10,18.25,0.0288425
10,18.5,0.0185831
10,18.75,0.0139301
10,19.0,0.00677034
10,19.25,0.00524026
10,19.5,0.00309024
10,19.75,0.00206119
10,20.0,0.00331728
10,20.25,0.00163078
10,20.5,0.00230636
10,0.25,0.0
10,0.5,0.0
10,0.75,0.0
10,1.0,0.0
10,1.25,0.0
10,1.5,0.0
10,1.75,0.0
10,2.0,0.0
10,2.25,0.0
10,2.5,0.0
10,2.75,0.0
10,3.0,0.0
10,3.25,0.0
10,3.5,0.0
10,3.75,0.0
10,4.0,0.0
10,4.25,0.602308
10,4.5,0.986699
10,4.75,1.58557
10,5.0,2.81916
10,5.25,4.47297
10,5.5,6.83776
10,5.75,9.70536
10,6.0,12.6969
10,6.25,16.3517
10,6.5,19.4434
10,6.75,22.9033
10,7.0,25.1884
10,7.25,27.5925
10,7.5,28.8154
10,7.75,30.0429
10,8.0,30.4156
10,8.25,29.7105
10,8.5,28.1489
10,8.75,26.2645
10,9.0,23.27
10,9.25,19.9774
10,9.5,15.2096
10,9.75,10.1125
10,10.0,2.50688
10,10.25,0.331746
10,10.5,0.116603
10,10.75,0.139902
10,11.0,0.142343
10,11.25,0.178572
10,11.5,0.17949
10,11.75,0.175245
10,12.0,0.166942
10,12.25,0.165632
