kV,intensity
10,4.878046438414635
11,4.545454782249999
12,4.3478264191304365
13,4.210526319052631
14,4.166663254687497
15,4.0404012636363635
16,3.8834935168932048
17,3.773587461132076
18,3.636363986909091
19,3.636362648272726
20,3.508772741842105
21,3.418802644957265
22,3.3057846064462812
23,3.448276396724136
24,3.6036027144144156
25,3.636364283636364
26,3.5087711483333335
27,3.3898311362711877
28,3.2786881536885244
29,3.174602670396827
30,3.076923824115384
31,3.0075185629323324
32,2.919708438648175
33,2.836878817347518
34,2.7586212153630467
35,2.6845627329805377
36,2.614379429477123
37,2.547771247624205
38,2.4999990228624993
39,2.439025400409147
40,2.3809528979736916
41,2.3255817686959306
42,2.2727279869034094
43,2.2222223491941673
44,2.1857929674344265
45,2.13903765657754
46,2.105262859979014
47,2.0618561514948452
48,2.020202636836495
49,1.9900499017796525
50,1.951219343367618
