kV,intensity
10,4.938270864481551
11,4.6511602483720935
12,4.444444581888889
13,4.347827399673911
14,4.301074505268821
15,4.210526905789472
16,4.166667213437502
17,4.081632161428571
18,3.9215725392156853
19,3.773582843962264
20,3.636362661272727
21,3.5087713543859635
22,3.361342857394958
23,3.3613444634453766
24,3.2520328319512215
25,3.1746028592063484
26,3.076922937615384
27,3.1007757927131783
28,3.252032940406504
29,3.1746038538095234
30,3.076922894692307
31,2.9850750771641787
32,2.898551832391306
33,2.816900702676056
34,2.739726573150686
35,2.684563388174497
36,2.597402275974027
37,2.547771543885351
38,2.484473165745342
39,2.4242431705454544
40,2.3668633543372786
41,2.3121389620982646
42,2.259886669632768
43,2.209945361613259
44,2.1739124732114137
45,2.1276592252127666
46,2.083333480417214
47,2.0408156802397963
48,1.9999989943949992
49,1.9704423404926095
50,1.9230767784545424
