kV,intensity
10,5.882351566176471
11,5.128200759743588
12,4.9999989025
13,6.060606262121215
14,5.19479857142857
15,5.5555562597254236
16,5.26315501856538
17,4.8780487865853654
18,4.651163013953489
19,4.545455407954545
20,4.444443972222223
21,4.255319550212767
22,4.08163340255102
23,3.921569988921568
24,3.7735850986792454
25,3.6363620250000004
26,3.5087713805263143
27,3.389828780084745
28,3.2786885889344264
29,3.174603116111111
30,3.076923396461541
31,2.9850756108955205
32,2.8985509926811592
33,2.816902366732394
34,2.7397257514608917
35,2.6666665617999983
36,2.597402828051947
37,2.53164566221519
38,2.4691357487654324
39,2.40963876753012
40,2.3529412450588234
41,2.2988496344252876
42,2.2471908509550564
43,2.1978020491758232
44,2.150537865591397
45,2.105263061578948
46,2.0618557294329904
47,2.030457215888326
48,1.990049068109453
49,1.9512194777073182
50,1.9138758011483257
