Material,kV,intensity
Mo,10,4.878046438414635
Mo,11,4.545454782249999
Mo,12,4.3478264191304365
Mo,13,4.210526319052631
Mo,14,4.166663254687497
Mo,15,4.0404012636363635
Mo,16,3.8834935168932048
Mo,17,3.773587461132076
Mo,18,3.636363986909091
Mo,19,3.636362648272726
Mo,20,3.508772741842105
Mo,21,3.418802644957265
Mo,22,3.3057846064462812
Mo,23,3.448276396724136
Mo,24,3.6036027144144156
Mo,25,3.636364283636364
Mo,26,3.5087711483333335
Mo,27,3.3898311362711877
Mo,28,3.2786881536885244
Mo,29,3.174602670396827
Mo,30,3.076923824115384
Mo,31,3.0075185629323324
Mo,32,2.919708438648175
Mo,33,2.836878817347518
Mo,34,2.7586212153630467
Mo,35,2.6845627329805377
Mo,36,2.614379429477123
Mo,37,2.547771247624205
Mo,38,2.4999990228624993
Mo,39,2.439025400409147
Mo,40,2.3809528979736916
Mo,41,2.3255817686959306
Mo,42,2.2727279869034094
Mo,43,2.2222223491941673
Mo,44,2.1857929674344265
Mo,45,2.13903765657754
Mo,46,2.105262859979014
Mo,47,2.0618561514948452
Mo,48,2.020202636836495
Mo,49,1.9900499017796525
Mo,50,1.951219343367618
Rh,10,4.938270864481551
Rh,11,4.6511602483720935
Rh,12,4.444444581888889
Rh,13,4.347827399673911
Rh,14,4.301074505268821
Rh,15,4.210526905789472
Rh,16,4.166667213437502
Rh,17,4.081632161428571
Rh,18,3.9215725392156853
Rh,19,3.773582843962264
Rh,20,3.636362661272727
Rh,21,3.5087713543859635
Rh,22,3.361342857394958
Rh,23,3.3613444634453766
Rh,24,3.2520328319512215
Rh,25,3.1746028592063484
Rh,26,3.076922937615384
Rh,27,3.1007757927131783
Rh,28,3.252032940406504
Rh,29,3.1746038538095234
Rh,30,3.076922894692307
Rh,31,2.9850750771641787
Rh,32,2.898551832391306
Rh,33,2.816900702676056
Rh,34,2.739726573150686
Rh,35,2.684563388174497
Rh,36,2.597402275974027
Rh,37,2.547771543885351
Rh,38,2.484473165745342
Rh,39,2.4242431705454544
Rh,40,2.3668633543372786
Rh,41,2.3121389620982646
Rh,42,2.259886669632768
Rh,43,2.209945361613259
Rh,44,2.1739124732114137
Rh,45,2.1276592252127666
Rh,46,2.083333480417214
Rh,47,2.0408156802397963
Rh,48,1.9999989943949992
Rh,49,1.9704423404926095
Rh,50,1.9230767784545424
W,10,5.882351566176471
W,11,5.128200759743588
W,12,4.9999989025
W,13,6.060606262121215
W,14,5.19479857142857
W,15,5.5555562597254236
W,16,5.26315501856538
W,17,4.8780487865853654
W,18,4.651163013953489
W,19,4.545455407954545
W,20,4.444443972222223
W,21,4.255319550212767
W,22,4.08163340255102
W,23,3.921569988921568
W,24,3.7735850986792454
W,25,3.6363620250000004
W,26,3.5087713805263143
W,27,3.389828780084745
W,28,3.2786885889344264
W,29,3.174603116111111
W,30,3.076923396461541
W,31,2.9850756108955205
W,32,2.8985509926811592
W,33,2.816902366732394
W,34,2.7397257514608917
W,35,2.6666665617999983
W,36,2.597402828051947
W,37,2.53164566221519
W,38,2.4691357487654324
W,39,2.40963876753012
W,40,2.3529412450588234
W,41,2.2988496344252876
W,42,2.2471908509550564
W,43,2.1978020491758232
W,44,2.150537865591397
W,45,2.105263061578948
W,46,2.0618557294329904
W,47,2.030457215888326
W,48,1.990049068109453
W,49,1.9512194777073182
W,50,1.9138758011483257
