Material,energy,intensity
Mo,0.25,0.0
Mo,0.5,0.0
Mo,0.75,0.0
Mo,1.0,0.0
Mo,1.25,0.0
Mo,1.5,0.0
Mo,1.75,0.0
Mo,2.0,0.0
Mo,2.25,0.0
Mo,2.5,0.0
Mo,2.75,0.0
Mo,3.0,0.0
Mo,3.25,0.0
Mo,3.5,0.0
Mo,3.75,0.0
Mo,4.0,0.0
Mo,4.25,0.13234332312422586
Mo,4.5,0.14594296334435553
Mo,4.75,0.20611648037782185
Mo,5.0,0.334957258673797
Mo,5.25,0.5467960780487805
Mo,5.5,0.865396268292683
Mo,5.75,1.3470388048780486
Mo,6.0,1.8434799024390245
Mo,6.25,2.585765073170731
Mo,6.5,3.4619756097560983
Mo,6.75,3.863927487804878
Mo,7.0,4.337221414634146
Mo,7.25,5.455260975609756
Mo,7.5,6.944842926829267
Mo,7.75,5.045412104202204
Mo,8.0,6.255415121951219
Mo,8.25,7.242343414634151
Mo,8.5,7.370941219512195
Mo,8.75,7.707618536585363
Mo,9.0,7.818439024390241
Mo,9.25,7.854058536585367
Mo,9.5,8.040959756097559
Mo,9.75,7.989742195121953
Mo,10.0,7.552997073170729
Mo,10.25,7.443997853658536
Mo,10.5,7.26325719512195
Mo,10.75,7.253032365853654
Mo,11.0,6.922381634146342
Mo,11.25,7.63175943902439
Mo,11.5,7.1147777073170735
Mo,11.75,6.826676000000001
Mo,12.0,6.605617707317072
Mo,12.25,6.245480414634147
Mo,12.5,6.105381097560975
Mo,12.75,5.924880000000001
Mo,13.0,5.702328219512195
Mo,13.25,5.428892
Mo,13.5,5.273850268292683
Mo,13.75,5.070926682926829
Mo,14.0,4.881621390243903
Mo,14.25,4.713378551219512
Mo,14.5,4.53184175609756
Mo,14.75,4.39606836097561
Mo,15.0,4.197766021951218
Mo,15.25,4.075398846341463
Mo,15.5,3.9302181146341457
Mo,15.75,3.8065042756097562
Mo,16.0,3.650472590243903
Mo,16.25,3.611571104878048
Mo,16.5,3.31459463902439
Mo,16.75,3.9094767195121958
Mo,17.0,2.3243496731707314
Mo,17.25,22.375747597560974
Mo,17.5,37.20728657560975
Mo,17.75,6.334204495121951
Mo,18.0,2.4290428560975608
Mo,18.25,2.7142850024390235
Mo,18.5,2.493348351219512
Mo,18.75,2.4332702365853653
Mo,19.0,2.445793969268293
