n	E_numerico	E_teorico	Diferencia(%)
0	-0.92160001	-0.92160000	0.0000
1	-0.82957402	-0.77440000	7.1247
2	-0.81453643	-0.64000000	27.2713
3	-0.77440002	-0.51840000	49.3827
4	-0.68421057	-0.40960000	67.0436
5	-0.67669178	-0.31360000	115.7818
6	-0.63999999	-0.23040000	177.7778
7	-0.57142862	-0.16000000	257.1429
8	-0.56390982	-0.10240000	450.6932
9	-0.55639103	-0.05760000	865.9566
10	-0.51840001	-0.02560000	1925.0000
11	-0.45614040	-0.00640000	7027.1938
12	-0.40959998	N/A	N/A
13	-0.34837098	N/A	N/A
14	-0.31360000	N/A	N/A
15	-0.26566421	N/A	N/A
16	-0.23039997	N/A	N/A
17	-0.18546371	N/A	N/A
18	-0.15999977	N/A	N/A
19	-0.12280707	N/A	N/A
20	-0.10239861	N/A	N/A
21	-0.05759138	N/A	N/A
22	-0.02555483	N/A	N/A
23	-0.00626386	N/A	N/A
